id	x	y
224	-41.450768	6.3638477
225	32.01225	10.603685
226	33.162518	2.5693572
227	-12.732845	-26.13958
228	9.966781	-20.464478
229	-6.3182926	22.263065
230	-14.527797	3.2454493
231	2.4717171	-31.09454
232	-24.300962	-24.60813
233	-29.747242	-14.721014
234	3.398269	-11.577229
235	-20.364395	-36.961193
236	-2.7215915	-1.6656592
237	-2.3051083	-5.6629825
238	2.0609052	13.435193
239	-14.192755	-28.175646
240	-25.551497	-5.5030007
241	19.671965	-36.24793
242	-24.149834	-27.30583
243	-26.114243	-28.314287
244	26.219143	36.00686
245	-3.011141	35.80711
246	19.310007	-20.535803
247	-26.03857	-24.41269
248	-4.063706	13.50517
249	-4.9364777	-2.258575
250	12.914154	3.193067
251	8.749321	32.377422
252	-6.916514	31.160904
253	21.46368	-35.765945
254	-14.053334	10.605757
255	6.311374	22.20385
256	-8.671996	-2.7309034
257	0.31310505	23.050545
258	41.673363	1.9425507
259	8.639829	-5.9541435
260	15.426943	9.405734
261	28.525703	16.868076
262	-16.23022	-18.06836
263	-6.644664	-21.207024
264	-11.282696	-7.250952
265	24.131866	18.486689
266	15.731781	-4.4513173
267	13.542673	33.866867
268	4.1283383	9.373006
269	-3.999184	-7.3670993
270	4.4026947	17.17692
271	3.9383295	13.741148
272	-24.516539	-18.098421
273	-25.808102	-17.886887
274	11.356496	-18.532362
275	-24.47325	-11.797839
276	7.79414	9.0689745
277	17.912647	-5.4758625
278	14.152564	37.814804
279	24.689997	24.624914
280	13.990377	-7.639058
281	13.636538	11.85601
282	-13.937881	-38.54608
283	-34.681683	4.1661444
284	-8.969844	1.3441354
285	-13.732859	-26.055851
286	-11.670967	-27.94468
287	-9.079206	10.604645
288	-25.50296	-36.067886
289	28.698051	-13.8375225
290	-8.622446	-25.60177
291	13.577739	12.388975
292	41.824013	27.404673
293	7.9511757	19.950825
294	-19.464153	-33.458576
295	3.281385	24.789438
296	23.64861	-3.7067323
297	5.201214	-8.237057
298	15.923423	-25.151512
299	10.60162	-7.5718365
300	12.567132	-5.8597007
301	-37.633015	13.862943
302	-19.081814	-31.978006
303	9.435511	20.917912
